1,4,1,9,6,0,2,T,A
17,8,10,7,6,3,2,T,A
4,15,0,8,2,7,3,T,A
15,14,0,3,4,1,3,F,B
7,10,12,1,6,2,4,T,B
0,16,6,7,0,4,4,T,A
2,3,8,6,7,5,7,T,A
7,14,0,9,2,6,7,T,A
7,19,6,6,0,5,1,F,A
6,7,4,3,3,3,1,F,B
14,13,4,6,0,3,2,F,B
15,9,9,4,0,4,1,F,A
11,6,6,9,4,2,0,T,A
7,12,7,7,6,1,0,T,A
13,11,9,3,3,5,2,F,A
9,5,3,2,1,3,3,F,B
18,3,5,2,4,0,1,F,A
12,0,12,7,1,6,7,T,A
10,4,1,0,4,1,1,F,A
2,13,14,4,7,4,5,T,A
5,0,11,3,0,4,3,T,A
17,0,8,8,1,5,2,F,A
10,4,9,0,1,1,6,F,B
7,19,6,9,4,3,7,T,A
17,4,11,4,1,4,4,T,B
1,2,8,8,6,6,6,T,A
8,3,7,3,6,1,7,F,B
6,4,4,3,7,1,0,F,B
14,5,13,3,1,3,4,T,B
16,7,2,9,4,2,7,F,A
19,18,4,1,2,5,2,F,B
3,19,0,0,6,7,0,T,B
9,14,12,1,6,3,6,F,B
8,0,3,3,3,2,4,T,B
4,8,5,2,2,2,6,F,A
7,6,6,0,0,3,6,T,A
13,4,1,1,2,2,5,T,A
4,7,8,3,5,3,2,T,A
13,19,10,5,4,7,4,F,B
9,3,5,6,0,0,6,F,A
1,9,2,5,2,7,6,T,B
2,0,9,5,2,3,2,T,A
16,16,8,9,1,6,3,F,A
8,10,10,6,7,6,7,F,A
10,8,8,8,1,4,2,F,A
11,12,11,6,1,0,5,F,B
3,6,12,9,6,1,7,T,A
8,10,0,1,1,6,3,T,B
9,5,14,2,3,3,0,T,A
7,5,0,1,0,3,0,F,B
7,6,10,9,0,5,2,T,A
5,17,1,7,4,1,1,T,A
8,10,14,3,1,7,0,T,B
2,18,2,9,2,0,7,T,A
18,2,13,2,6,1,7,F,A
12,10,2,3,0,4,4,F,B
5,17,14,7,5,0,5,F,B
18,14,9,9,1,0,7,T,A
0,3,5,4,6,5,5,F,A
17,6,12,8,0,2,2,T,A
1,11,5,1,2,7,2,T,A
14,17,9,8,2,7,0,T,A
9,15,3,9,3,0,5,F,A
7,4,2,8,0,1,5,T,A
4,15,2,7,7,4,5,T,A
0,16,1,4,3,3,2,F,A
3,13,5,0,2,2,1,F,B
4,3,13,3,1,0,3,T,A
4,3,8,1,1,4,2,T,A
3,12,3,8,1,2,1,F,B
14,3,11,2,0,3,6,F,B
2,13,8,1,0,3,1,F,A
2,13,13,3,1,2,5,F,B
12,2,6,9,4,2,0,T,B
16,7,6,6,2,3,7,F,A
19,15,9,5,6,7,6,F,B
12,1,10,6,7,7,7,T,A
9,15,1,1,3,7,5,F,A
4,11,12,7,1,1,6,T,A
11,3,12,3,4,2,0,T,B
14,10,5,8,1,6,0,T,A
2,17,6,1,3,7,3,T,A
8,8,13,6,4,2,5,F,A
14,9,5,2,2,0,1,T,A
11,15,13,7,2,2,1,F,B
0,14,4,6,6,6,3,T,A
13,11,2,3,4,5,0,F,A
4,7,12,1,2,5,6,T,A
11,0,12,7,5,2,5,F,B
6,7,1,3,4,3,5,F,B
18,17,1,8,5,6,6,F,A
17,11,5,6,3,5,5,T,A
1,16,5,1,3,7,3,T,A
10,1,10,3,6,0,2,T,A
11,10,9,0,4,0,7,F,B
7,6,11,0,0,4,3,T,A
17,2,12,6,3,5,6,T,A
3,7,4,9,3,4,7,T,A
16,4,2,6,1,3,7,T,A
9,8,6,3,1,7,3,F,B
2,1,11,0,5,0,5,F,B
10,7,3,4,1,4,7,T,B
8,0,14,1,6,3,3,F,B
3,0,13,2,7,4,0,F,A
2,9,9,7,6,1,6,F,B
18,12,13,5,3,5,1,F,A
8,19,8,3,1,1,2,T,A
0,10,7,6,0,5,2,F,A
10,0,12,4,2,2,4,F,B
10,19,2,7,3,6,3,T,B
8,0,8,7,6,6,4,T,A
15,5,5,9,7,4,4,F,B
8,17,7,0,0,5,3,T,A
6,17,9,3,0,5,5,F,A
11,12,0,4,0,1,5,T,A
16,19,5,0,3,2,2,F,B
18,2,7,2,2,4,2,T,A
15,16,11,4,3,2,3,T,B
1,5,7,8,1,7,1,F,B
8,15,4,9,7,7,6,F,B
16,12,7,7,4,0,7,F,B
12,11,4,7,3,2,5,T,B
18,7,6,9,0,1,3,T,A
6,8,8,5,0,2,0,T,A
1,4,9,2,1,0,4,T,A
18,3,2,6,6,3,4,T,B
17,12,14,1,7,4,0,T,B
4,16,5,1,6,6,1,T,A
0,12,11,7,2,1,6,F,B
14,18,8,1,4,5,3,T,A
12,17,11,5,5,7,7,T,A
16,19,7,0,1,1,7,T,B
9,3,6,1,6,2,3,T,B
3,8,11,7,7,6,1,F,B
6,10,0,9,5,5,0,T,A
